sentence,label
"After driving 14 hours, starting out in 60 mph+ winds, finding out interstate was closed due to a rock slide it was time to stop. Front desk staff greeted us with a smile and said they had a room ready. We had just called about a hour before. Told us we where in time for the chefs dinner and we... More",1
"This place needs updating. The room had a foul odor. Sink wasn't working properly. While we were away during the second day, the staff emptied out the refrigerator. Don't know why they did this as our stay was for 3 days. Completely unacceptable. Will not stay there again.",1
"my family and i visited my nephew who is in school in winchester, va. the receptionist at the desk called me to make sure that i requested a smoking room. (i had) she was concerned that i get the room i wanted because of the apple festival. after having had many negative experiences with smoking rooms, i was afraid that... More",1
Bad: no finger food during happy hour. Good: Great Breakfast,1
"My room was a nice one. Clean and comfortable. I was here with a group - 20 rooms booked for 4 nights stay and the hotel staff could not have been more professional or accommodating. If we decide to make our event an annual one, we will definitely come back here.",1
Nice hotel very friendly staff. Breakfast is pretty much standard. The only thing I would recommend is a bench in the front of the hotel. It has an indoor pool but we didn't take advantage of that. Flying J truck stop is right across the street it can get noisy on the west side at times.,1
"With the price, and with 4 kids tagging along, it was a pleasant stay! The front desk guy was Jermaine (if I recall correctly), and he was nice and very helpful. The lady at the breakfast station was also nice. In fact all the hotel staff that I met was nice and helpful.",1
"My room was in a wonderful spot - near the elevators, near the gym, near the ice machine. The staff was very helpful. They gave very good suggestions about where to go during my short stay. Sorry, did not stay long enough to have anymore experiences. The only thing I can say is that I was very, very comfortable.",1
We stayed here for a weekend and really enjoyed it. The rooms are spacious and nice for the price. The staff was friendly and we were always greeted by them. My only qualm was sleeping. We had the room by the guest laundry and it was noisy at night. On our last night the bill was shoved under our door... More,1
Rats running around the parking lot. My husband and I saw FIVE rats running around the parking lot and one jumped out a trash can. I don't do rats I am always been afriad of rats and I wasnt expacting that. I didn't feel comfortable staying there. Management was'nt helpful at all. I was there for my son's graduation from the Navy he had completed boot camp. So this was an important visit. We had to find another hotel at night and I had to pay more money.No one was helpful to us at all.,0
Bad: Not sure about deluxe room i was in. Good: Location,1
Horrible service. Run down. Over-priced. Even the shower curtain was the wrong width (too narrow) for the shower. Sink clogged. Stains on furniture. Just gross. We stayed there only because our wedding reception was next door. Never again. So very disappointed. Don't let the lobby fool you. The only positive thing is the location.,0
I have stayed here a few times for business. It is a good location with lots of options for retail shopping and dining. The hotel is clean and the breakfast is good with fresh fruit and hot eggs in addition to standard fare. King of Prussia Mall is right across the street.,1
"I thought this would be a cute, quaint, retro motel but it turned out to be closer to Bates Motel than a Blue Sky experience. The carpet had stains, the pool was broken, there were dogs barking in one of the rooms and there were ants crawling in the bathroom sink. Won't be back.",0
"Stayed in this hotel last week. The manager and staff were very nice and friendly. The room was clean (even behind stuff), the bed was comfortable, and it was quiet. The hotel offered lots of extras for free such as free hot breakfast, drinks in the evening, hot dinner, and long distance calls. While the food was bland and tastelss, it was there for anyone that did not want to go out for decent tasting food. The bartender poured good drinks and it was a good opportunity to meet some of the other hotel guests and the hotel staff. The manager made it a point to stop at tables and talk to guests and get to know them. All-in-all it was an excellent stay and very good value! The only item that could be considered a complaint was that even with the heat off my room was hot. I had to turn the AC on to get a comfortable temp.",1
"I stay here about 1 week a year when I in Nashua for work. The hotel is nice, includes a breakfast buffet with fresh fruit, made to order omelets, etc. Rooms are clean and well appointed although it would be nice if they had a mini frig. Hotel has a nice pub for lunch or dinner and drinks.",1
Husband and I planned to stop in Blythe as a rest/sleep stop on the way back from sedona. Very clean and comfortable place to lay your head for a night. Bountiful free breakfast as well. The checkin/out process seems to need some work but it's a new hotel so that is to be expected.,1
"This place was very convienent to the Turner Falls Park (right next to it). The staff at Tuner Falls Inn were extremely nice and helpful. Although the property is a little outdated, our room was clean and the location was perfect. I loved the fact that our room had a kitchenette so that we could make our own meals if... More",1
"This hotel has one of the most exceptional staffs I have encountered in a hotel. The front desk clerk was so attentive and welcoming, asking us about our day and making sure all of our needs and questions were met. She is a gem. The hotel has a cocktail hour every evening with enough food during the week that you... More",1
Me and my 3 girlfriends went here. Bouncer was extremely rude to my friend who had sunglasses on and accused her of being drunk and barely let her into the club even though she didn't have anything to drink the whole day. Eventually we got in and paid cover but the pool closed 2 hours early. We still had an... More,0
"This hotel was very clean and staff was friendly. The major complaint I have is about the breakfast. It was lousy. The eggs had no taste and the sausage patty was super greasy with not much taste either. I tried toast. Believe it or not, it didn't taste good either. The toaster took so long to toast. Needs to be... More",1
I was there from 9 to 13 March and I found the hotel simply perfect. The room was spacious and comfortable. The housekeeper staff very kind...everything was good at Hilton Garden Hill. I hope to come back there,1
"Stayed 2 nights here for business. My room looked out over the ballpark where the OKC Dodgers (Pacific Coast League AAA Club plays). Beautiful setting in Bricktown. Situated downtown, restaurants are nearby walking distance. The rooms are well-appointed, quiet and beds very comfortable. The breakfast setup is varied and has something for everyone (who eats). Nice property. The parking lot... More",1
"What a wonderful experience for a girls get away. Chef Dean and Nicole were great hosts. Breakfast was an international, yummy delight. Each room was different and very comfortable. The beds were conducive to a great night's sleep. We will be returning for our annual fall get away. Thanks so much Chef Dean an Nicole.",1
Just off I-95 and reasonably priced. Significant weekend savings on room rates but no free breakfast which is included with most weekday rates. Helpful and courteous staff. Meeting rooms for conferences and social gatherings.,1
I'm going to find one every time I go out of town... I loved it the housekeeping was very good front desk was very understanding... Rooms where very large and comfortable....I'm definitely staying again...,1
"Hamptons and Hilton brands booked in Charlottesville, decided to stay out of town instead of settling for lesser quality. Glad we did! Only 30 miles on a scenic highway. Beautiful drive to and from C'Ville. Clean, up to date, all we expect from a Hampton Inn. Although not much immediately around hotel there is a gas station and fully stocked... More",1
"Ten minutes from Dares beach and 20 minutes from Chesapeake beach. The proximity to everything is second to none. The staff are amazing and they're very accommodating. The pool is small but it's useful and breakfast is your general high school breakfast. Only real negative is my sheets were stained. Regardless, I'd recommend this place.",1
"Good: My wife and I stayed at the charlesmark for 4 days. The hotel staff was very friendly and accommodating. Room was a little small, but very clean and modern.",1
Enjoyed my stay at the hotel. It was very clean and had a pleasing dcor. I really liked the in room work area. Very comfortable set up. The room was clean and the bed extremely comfortable. I really liked the complimentary shampoo/conditioner/soap/lotion items. Very nice. Just don't forget your toothpaste and be prepared to pay 10 for your breakfast. This... More,1
"It's all good. Friendly staff, spacious room, clean, comfortable bed, decent AC unit. Door at front of room opens to spacious commons area, door at back of room exits to parking lot. Good overall experience.",1
"I went to Vegas with a girlfriend and we stayed in a standard room with 2 queen beds. Beds were comfy, I wouldn't pay more for a strip view unless that's important for you - we had a gorgeous mountain view to enjoy which was a nice break from the strip. We walked through most of the hotels and casinos... More",1
We had a ground floor room with outdoor shower. The shower and steam room is amazing. Bardessono is a true luxury experience. Staying mid week in May was a little quieter which was like having the resort to yourself. Spent a full day relaxing by the pool with no other guests. Staff were very friendly and helpful and explained the... More,1
Everything was good. I only spent a short night. I had an early flight the next morning.,1
Good: Ac did not work,0
"I have spent the last two birthdays at this hotel. It is the BOMB! Everything you want in a 5 star resort. I have so much fun. I visit the cafe for breakfast. I love the Vegas style bakery, with so many choices. The crepes are heavenly! The pool is beautiful and relaxing. They even have a suite-member only pool.... More",1
"This room was exceptionally clean! Check in was speedy. The front desk staff was very helpful. The only downside was the free Wi Fi was very slow. This is the only reason I gave just a four rating. I slept well until a family leaving early was very noisy and woke me. This, of course, was not the property's fault.... More",1
"Very friendly staff and good location (free parking and free shuttle). Nearby highway overpass and road noise was a concern on my side of the hotel, but it is convenient, clean, inexpensive, and with very friendly and helpful desk staff -- they are so nice!",1
"Spent one night here on our way out to Rapid City. Newly renovated room was clean and comfortable. Our small children slept on the pullout couch which was just he right size for them. Definitely would stay again!Dear 893trishac, Thank you so much for the positive feedback regarding your recent stay and about our newly renovated rooms. We are so happy that you enjoyed the new space! Please come back soon, we would love to have you!! Sincerely, Diane Hanisch General Manager",1
"I stayed for 7 nights in June 2015 with my family. Pros: Location - close to Oakwood Plaza which has some good stores (Ross, Marshalls, Big Lots, Party City, Home Depot etc) Breakfast was good Airport Shuttle was efficient Cons: Not the cleanest surroundings Laundromat had two washers on ground floor - 1 was out of order Ice machines were... More",1
"Bad: Nothing so far. Good: Perfect location to see the city. The hotel is comfortable, clean and spacious and excellent value for money. I would definitely recommend this hotel to anyone.",1
"Excellent service, great size rooms and great location for my family to stay while I had surgery.",1
"This was the dirtiest and worst run hotel we've ever stayed in. It was so dirty we had to leave early and find alternative accommodation. Sticky carpets, dirty linen AC and fridge not working. Changed rooms but no improvement - no way could this be a 3 star hotel",0
"This hotel is in a beautiful location. Staff were very friendly and helpful, especially Eli at the front desk. Rooms were spacious qns clean with balcony looking over beach and ocean. Will definitely be booking there on my next trip to virginia beach.",1
"Filthy outside grounds with construction debris, cat litter, plastic bags, and garbage. Inside lobby was under construction breakfast was in a storage room with no place to eat. Hotel staff was overheard telling others to Shut your mouth. Reception was not manned had to wait 15 minutes for check-in and longer for check-out before staff arrived..",0
Stayed in cabin 6. It was awesome. Everything about it was awesome. From the staff to other travelers staying there. Breakfast was great only problem with it was I ate too much. Rooms were very clean and fresh. I wanted to take the bed home with me it was so comfortable.,1
The Snow lol in I have to leave there How comfortable the bed in room was really nice I needed the peace in time to myself.,1
This is a very clean hotel. The staff is always very friendly and extremely helpful! The breakfast is worth every penny and I would recommend trying the French toast. I stay here at least every six months and I am always very pleased with every aspect of my stay!,1
The staff here was wonderful! Got us thru a rough time due to a funeral for a loved one coupled with the worst snow storm in the area in years! They went above and beyond with their great service and making us feel at home during a difficult time. Will definitely stay there again the next time we are in... More,1
We checked into into a different nearby hotel for stay-and-fly only to find there was nowhere to park our car and they wanted us to leave the keys so they could move our car the week we were gone. We had done stay and fly at several hotels NEVER did they move the car or want the keys. I call... More,1
"Very good service. Rooms were very clean. Servers and attendants were polite, courteous and very helpful. Comparing to the TULSA Ambassador (which I've stayed at many times), the style and architecture are different but the service is impeccable.",1
"This has always been one of our family favorites when it comes to a vacation spot in both the summer and winter. However, the facility and water parks are showing their age and the price to stay just keeps going up. I would recommend a price cut or some major upgrades in the near future before people decide the place... More",1
"This Motel will be the last place in Washington, Pa I would ever stay again. The rooms say no smoking, yet the bed spread and blanket had burn holes in them. The furniture was old and broken. The bathroom was newly finished, yet had BLACK MOLD on the walls .When I let them know at the front desk, they really... More",0
"Service is excellent for a midlevel chain motel. Good location right off Hwy 54. Usually decent rates. Room design and cleanliness are just average, but you can't have everything for a midtier price. Location and typically excellent service more than make up for any shortcomings.",1
Bad: The room is very small. The footstep sound from other room can be heard. The wifi is too weak. Good: What I really like is the location and decorations. It only takes 5 minutes to beach.,1
"Not good, suppose to be there a freg. and microwave but I suffered and I have two kids.",0
"This Candlewood Suites near the airport was more than adequate for my overnight needs as I needed quick access to FLL for an early morning flight. The room was quiet, clean, comfortable and reasonably priced. This property does not have a business center, but I was encouraged at the front desk to use the HI Express that was across the... More",1
"We got a free upgrade to a room with a jacuzi. It was right in the middle of the bed room... too funny! The beds where fine, the staff was great but the view from the top deck during breakfast....breathtaking!!!! I would go back in a heartbeat!",1
"Overall the hotel, area and staff are nice. But my first stay at this hotel was in December only to find that we had tiny ants all over our room, including our suitcase the next morning...YUCK! The hotel was very apologetic and offered me a free stay next time we were in the area. I took them up on the offer and would have thought the room they put me in would have been checked first, but yep you guessed it...ants again (in February and on a completely different floor)! I think it's time they called an exterminator! They moved me to a different room, but offered nothing else. Won't go back.",1
"Awesome place to stay. On a quiet street, secluded area, lots of trees. Rooms updated, new and very clean. Staff is outstanding (I personally dealt with Heather who made me feel like family). Lobby is super nice, with an open restaurant and booths with their own tv. Lots of sofas to relax or watch tv. Outdoor area/courtyard to chill out... More",1
Loved waking up to beautiful sail boats on sparkling water and going to sleep with the view of the night life across the bay. Great walking area that goes for miles around Queens Way near the Queen Mary.Thanks for the great review and glad you loved the view!,1
Bad: no breakfast facilities and some incompetent staff. Good: nice location and simple business hotel type,1
Great central location,1
"nice hotel, good security, little parkig, full thu-sun",1
"Stayed here for a night with my 60 pound dog. Didn't need anything fancy as this was a one-night stop on a long road trip. Good: * clean room * comfortable bed * dog relief areas were surprisingly well maintained and clean Bad: * leaky bathroom fixtures, shower pressure not strong enough * slow check in process * shady practices... More",1
great location in downtown Ithaca. Starbucks conveniently located inside the building. front desk service is exceptional. both ladies working when we checked in were wonderful. rooms are clean and comfortable. I would highly recommend.,1
The room is to old..,1
My husband and I stayed here for one night to get away for a night away from the kids. The hotel is nice and I would stay again.,1
I have been to the Charles several times over the last 20 years. Some parts of the hotel are consistent over the years: the rooms are clean and the staff is professional. But the experience isn't really a luxury experience with attention to small details. The hotel made a mistake around our rooms (they were supposed to be adjoining which... More,1
Walking into the front of the building we were immediately greeted by Alexander a very personable and kind individual. He was very knowledgable about the area and pointing us in the right direction. Although we had many questions he was never bothered by our questions and always had a warm smile on his face. The following day he recognized us... More,1
"Stayed for one night on a business trip. It was worth 60 a night with tax on a Friday, Very minimum small room. Looks renovated but the bathroom needs a lot of work! No wifi even though the front desk gave me a password it don't even work! The area is pretty sketchy not the best around!!! Summer is probably a little better. Breakfast was just coffee and one muffin.... Everything is small here I suggest to stay at a casino hotel next time.",1
A great location and comfortable stay. Spent the night to do a campus tour of UWF. Great breakfast with lots of options. Close to lots of restaurants. Walked to Cheddars. Used the microwave later in the evening.,1
Great time at the Honua Kai Just returned from a 2 week stay at the Honua Kai with my husband and 6 year old daughter. Would would stay here again for sure. Here are my candid thoughts. Likes: - I booked with a membership code and saved 40 off of the best advertised rate available from the resort directly ...... More,1
"Good: Location, location, location",1
Was running a 1/2 marathon the next day was looking for a quality room for 4 ( wife child and sister) close to the start Hampton colisieum which the motel met liked the 12 pm check out the room was clean and the personel at the motel were very freindly would stay again,1
We spent five nights at the Aria for our 1st anniversary. This was our second visit to this hotel. Once again they surpassed our expectations!! We were put into a corner suite on the 18th floor with amazing views. The room was so comfortable that it made it hard to want to leave to do anything else. There are so... More,1
"The facility was not bad for the price the room was clean, beds were good and everything worked. The people that stay there however were unpleasant to be around.On day1my girlfriend could not walk out of her room without getting harassed by a gentlemen with his pants on the ground so she had to be escorted every time she left the room. The same group partied till 5a.m. and our room wreaked of the weed smoke from the room next door. Day 2 there were several ferral children running around some naked all unattended while parents chain smoked Pall Malls on the steps. Again the facility was nice ,it was clean and was not bad except for the other guests.",0
"Good location, nice breakfasts. Front desk customer service leaves a lot to be desired. The staff were pleasant sometimes and indifferent to rude at other times. Never received my room upgrade either.",1
"OK. I didn't actually put any lime in a coconut nor did I shake it all up - I am way too old for that. But Coconut Waikiki was a neat, well priced and well located place to stay in expensive Waikiki. It's a brief meander from the hotel to the beach, with about 342 ABC stores along the way... More",1
"Very nice motel on busy intersection, but rooms are located toward back of property so noise not too bad. Interior corridor access restricted w/card lock opened w/room key so w/level of additional security for single woman. Has elevator to 2nd and 3rd floors. Room spotless, clean, everything in great condition. Newfangled heat/AC controls w/instructions (thank goodness!) worked well. Shower w/shower massage-very nice touch. Was very comfortable stay. Would definitely stay again.",1
"Bad: Getting the wrong key to check in the key they gave us was somebody else's room, and spoiled coffee creamer not fun getting dressed to go downstairs and get a cuppa coffee.",1
We had a great stay at the Ritz and would definitely stay there again. Everything was as you would expect.,1
"This hotel has a great location and is super quiet even though it is in the heart of downtown Gatlinburg. We stayed on the island and the rushing water on both sides of our room was so peaceful. Only complaint was the internet was not working all weekend. While the room was clean and comfortable, it needs to be updated.... More",1
"We attended a swim conference at the University for three days. This our first visit to the Dunkirk, Fredonia area. We enjoyed the stay and the closeness of the motel to our destination. The area around the campus is beautiful. We found great places to eat.",1
"This was a good hotel to stay in. We booked it through Priceline Express Deals so we did not voluntarily choose this hotel and paid much less than their listed prices. It was clean, our room was clean and did not have an odor. It has exterior corridors but I felt safe. The breakfast buffet was good. We were with... More",1
"pool good, quiet easy access to hwy's food places.",1
"Absolutely the best place to stay in El Paso!!!!!! * I will start with the Front Desk: Amazing!!! Everyone always goes above and beyond, to make sure you have an excellent stay. This hotel really is a Home away from Home, and they like to make you feel special. *Breakfast: Outstanding!! Always Delicious! A lot of variety. *Social Hour (Mon.-Wed... More",1
"Bad: Wish there was a hot tub after walking around town all day. The breakfast was a too expensive. Good: Great location! Room was nice and clean, very modern. There was 6 of us and we got the two double beds and pull out couch. We all slept comfortably.",1
Returning for another stay because of prior experience.,1
"This hotel is barebones, ugly, and has zero amenities. The people were nice, it was clean, and the location is decent for someone who has business in the Loop. However, there are multiple other hotels right nearby that are much better.",0
Great Hotel! The front desk staff was very nice. Just stayed one night while travelling. Couldn't be happier!!,1
A friend had made reservations to this hotel that I knew nothing about getting there from the Atlanta Hartsfield Airport is a long but interesting drive being that it was my first time as an adult visiting Georgia. From the outside I thought boy this place is going to be average but when I went in I was so pleased... More,1
Great location oceanfront on Boardwalk. Staff was very friendly and accommodating. Room just need some updating and wasn't exactly clean. It just needs a more through cleaning than the everyday housekeeping and I think it would be back on track. This was our 3rd year staying here and will probably come again next year!,1
Very close to the Soco District and St Edward's University which was convenient since we were there to visit the school. Looks brand new. Rooms were spacious and super clean.,1
"Staff was very friendly and helpful!!! Good location, couple blocks from outlet shops and 3min walk to the beach and board walk. Neighborhood is not the best at night. But it is a good place to stay overall.",1
"I honestly cannot say enough wonderful things about this hotel and the staff that keeps it running impeccably! I travel often for business and I was absolutely blown away by the wonderful customer service I received at this particular location. I have stayed twice, booked a third stay and look forward to it every single time. I went as far... More",1
"This is a good one, guys! Rooms are convenient and comfortable, with self check-in and number-pad doors that miraculously work. It's small (I think 5 rooms) and walkable to anywhere in Hilo. We stayed in the smallest (read: cheapest) room no. 2. Had everything we needed, even a little kitchenette. It got maybe a bit noisy with the street but... More",1
"We booked this facility because of the good location, the pictures online the description we got over the phone. It did not deliver! Management is very poor.r The facility is dirty. The meeting room is in a basement (with the 'weight room' a smelly, dirty, unusable kitchen bathroom.) they should be ashamed of the condition of this place what they charge. There are actually many 'long term' guests that reside there from what we could tell as well.r r Not the plac...view moree for a good nights rest in a clean room. Look elswhere.view less",0
"I'm a neat freak and this hotel felt comfortable. Very spacious too, we stayed in a resort view room and it has a living room with a t.v. and a sofa bed room with a separate t.v. and closet. The room comes with a washer and dryer too which was a plus and they use Aveda products for the bathroom.",1
The staff was extremely nice and helpful. They answered any questions and knew most information. Hotel had both the outdoor and indoor pools which was also nice. Breakfast area was large enough to accommodate a good number of people when crowded.,1
"We chose this hotel because it is attached to the KFC Yum center and was told we could use the skywalk to and from the center (without, essentially, leaving the hotel). Unfortunately the skywalk was closed going IN to the venue, but we were able to use it after the event. We still think this is a grand idea, however,... More",1
The Roosevelt staff is very friendly and ready with suggestions for tours and restaurants. The room was spacious and clean. Being centrally located it is an ideal spot for reaching all of downtown Seattle. Additionally it is easy to reach via LINK light rail public transportation from the airport.,1
This is a great place to stay to sleep. Thats what I was looking for. Staff is friendly. Rooms are clean. Older hotel but updated. Can be loud as this is a motel. I felt very safe. Parking is easy. Good value for the money.,1
The pictures of the hotel looked better on line. The staff was ok not great. No one looked like they wanted to be there. It was supposed to be a non smoking hotel but someone on my floor kept smoking which was a turn off. The room was clean but they didn't leave conditioner or moisturizer and left one teeny shampoo. When I went to the front desk to ask for products I was told they only had a few! Was. It pleased with our stay at all,0
"Came up midweek for a quick break and an Orioles game, so did not spend much time in the hotel. But we were pleased with everything. Prices seemed high all over the area, perhaps because of an event at the convention center, so this was more than expected. But for what we wanted to do -- the aquarium, the ball game, a water taxi ride -- this is a great place to stay.",1
"We checked into this hotel prior and after we went on a cruise. Although the house keeping was not the greatest, we met a man named Henry that made the whole trip! He was so friendly, kind, helpful, knowledgeable and really just made the stay at the hotel that much better! If we had a question about where to eat,... More",1
We had high hopes for the Aria - during our Christmas mini-getaway we chose it over several competing hotels due to its promise of a newer hotel with great service and amenities. We arrived at around 11:30 pm and were surprised to find a long winding line at the check in area. The line moved at an excruciatingly slow pace... More,0
"We stayed here because the price was right. Location was ok, just a quick walk to Fred Meyers the bus stop. Staff was very friendly. Room was tiny and old but clean, which matters the most. No a/c which might be ok on the other side but we were on the side facing the sun and it was quite... More",1
not good,0
"Nice sized room and a very beautiful view. The staff was very helpful and nice, however the room was definitely dated and not very clean. In my opinion, you could find a better stay for 100 in Luray.",1
"We had a 2bed room suite. It was clean loved the kitchenette although we didnt use it. Close to Hwy, shopping and resturants. 35 minutes from ORF airport. There was no real decor(pictures vases etc). The staff was friendly and very helpful. I would definately stay there again!",1
"It was Ok, but the conditions of the room needs to be more light and more clean.",1
Great the room was very nice n clean . We want to get away for day at beach. Wish had stay longer.,1
"Heater was blowing cool air in morning. Some things in the room seemed shoddy or unfinished like sprinkler, wall around the light switch, and when you first enter one of the lightswitches that I believe was meant to turn on the lamps did nothing. Also we were only there one nite but in that time our room keys both got deactivated. We were very pleased with complimentary breakfast offerings except that there was cream cheese but no bagels and the type of milks were not labeled.",1
"My husband and I recently stayed at the Best Western Plus Inn at the Vines on our trip to Napa. As soon as we arrived we were greeted by a very helpful front desk clerk who made sure we had everything we needed. The rooms we clean and very nice. Overall I'd give this hotel a 100 and I'd definitely come again!Ronda S,We are so glad you enjoyed your stay with us. Come back soon !",1
"Someone probably a man and left the toilet seat up and hadn't flushed the toilet. Not a good look and not a comforting thought when you check into a room. My biggest pet peeve is hypoallergenic rooms should be part of a hotels standard capacity. Why should a consumer have to advise the front desk to have someone from housekeeping come in and change out pillows and maybe a comforter. Be proactive not reactive, it makes more the hotel more appealing to consumers and brand loyal",1
"Short stay, but very enjoyable. The management and staff were very courteous and informative. Sorry to have missed the Pony Penning, but did see some on Assateague Island nearby.",1
